date_time	NINO3
1992.80	-0.19
1992.88	-0.16
1992.96	-0.14
1993.08	-0.01
1993.16	0.17
1993.24	0.38
1993.32	0.66
1993.40	0.89
1993.48	0.95
1993.56	0.71
1993.64	0.38
1993.72	0.21
1993.80	0.22
1993.88	0.28
1993.96	0.26
1994.08	0.20
1994.16	0.07
1994.24	-0.01
1994.32	-0.09
1994.40	-0.03
1994.48	0.07
1994.56	0.06
1994.64	0.07
1994.72	0.07
1994.80	0.37
1994.88	0.67
1994.96	0.94
1995.08	1.01
1995.16	0.93
1995.24	0.68
1995.32	0.39
1995.40	0.09
1995.48	-0.03
1995.56	-0.03
1995.64	-0.12
1995.72	-0.30
1995.80	-0.53
1995.88	-0.62
1995.96	-0.64
1996.08	-0.60
1996.16	-0.52
1996.24	-0.38
1996.32	-0.31
1996.40	-0.26
1996.48	-0.22
1996.56	-0.14
1996.64	-0.11
1996.72	-0.15
1996.80	-0.21
1996.88	-0.24
1996.96	-0.38
1997.08	-0.47
1997.16	-0.48
1997.24	-0.25
1997.32	0.05
1997.40	0.52
1997.48	1.00
1997.56	1.56
1997.64	2.01
1997.72	2.38
1997.80	2.67
1997.88	2.86
1997.96	2.97
1998.08	2.96
1998.16	2.76
1998.24	2.40
1998.32	1.89
1998.40	1.47
1998.48	0.84
1998.56	0.30
1998.64	-0.19
1998.72	-0.35
1998.80	-0.52
1998.88	-0.66
1998.96	-0.86
1999.08	-0.95
1999.16	-0.98
1999.24	-0.78
1999.32	-0.63
1999.40	-0.52
1999.48	-0.59
1999.56	-0.60
1999.64	-0.67
1999.72	-0.73
1999.80	-0.89
1999.88	-1.09
1999.96	-1.27
2000.08	-1.47
2000.16	-1.41
2000.24	-1.23
2000.32	-0.79
2000.40	-0.55
2000.48	-0.49
2000.56	-0.53
2000.64	-0.49
2000.72	-0.34
2000.80	-0.33
2000.88	-0.42
2000.96	-0.59
2001.08	-0.66
2001.16	-0.57
2001.24	-0.38
2001.32	-0.18
2001.40	-0.12
2001.48	-0.10
2001.56	-0.10
2001.64	-0.09
2001.72	-0.22
2001.80	-0.34
2001.88	-0.42
2001.96	-0.46
2002.08	-0.42
2002.16	-0.30
2002.24	-0.02
2002.32	0.14
2002.40	0.25
2002.48	0.37
2002.56	0.47
2002.64	0.53
2002.72	0.56
2002.80	0.75
2002.88	1.04
2002.96	1.26
2003.08	1.20
2003.16	0.91
2003.24	0.57
2003.32	0.22
2003.40	-0.15
2003.48	-0.35
2003.56	-0.24
2003.64	0.00
2003.72	0.16
2003.80	0.26
2003.88	0.37
2003.96	0.51
2004.08	0.50
2004.16	0.45
2004.24	0.28
2004.32	0.16
2004.40	0.06
2004.48	0.05
2004.56	0.08
2004.64	0.23
2004.72	0.39
2004.80	0.52
2004.88	0.59
2004.96	0.63
2005.08	0.57
2005.16	0.40
2005.24	0.23
2005.32	0.21
2005.40	0.32
2005.48	0.38
2005.56	0.32
2005.64	0.21
2005.72	0.10
2005.80	-0.05
2005.88	-0.30
2005.96	-0.65
2006.08	-0.84
2006.16	-0.76
2006.24	-0.57
2006.32	-0.33
2006.40	-0.18
2006.48	0.03
2006.56	0.09
2006.64	0.20
2006.72	0.41
2006.80	0.68
2006.88	0.89
2006.96	1.01
2007.08	0.94
2007.16	0.65
2007.24	0.19
2007.32	-0.11
2007.40	-0.29
2007.48	-0.30
2007.56	-0.38
2007.64	-0.52
2007.72	-0.82
2007.80	-1.11
2007.88	-1.34
2007.96	-1.44
2008.08	-1.53
2008.16	-1.44
2008.24	-1.20
2008.32	-0.86
2008.40	-0.49
2008.48	-0.26
2008.56	0.01
2008.64	0.22
2008.72	0.27
2008.80	0.18
2008.88	-0.01
2008.96	-0.23
2009.08	-0.44
2009.16	-0.55
2009.24	-0.55
2009.32	-0.34
2009.40	-0.03
2009.48	0.41
2009.56	0.72
2009.64	0.81
2009.72	0.86
2009.80	0.84
2009.88	1.04
2009.96	1.30
2010.08	1.44
2010.16	1.32
2010.24	1.08
2010.32	0.85
2010.40	0.56
2010.48	0.12
2010.56	-0.33
2010.64	-0.70
2010.72	-0.97
2010.80	-1.27
2010.88	-1.44
2010.96	-1.56
2011.08	-1.49
2011.16	-1.30
2011.24	-1.04
2011.32	-0.69
2011.40	-0.44
2011.48	-0.16
2011.56	-0.01
2011.64	-0.09
2011.72	-0.29
2011.80	-0.61
2011.88	-0.80
2011.96	-0.87
2012.08	-0.81
2012.16	-0.54
2012.24	-0.32
2012.32	-0.10
2012.40	-0.02
2012.48	0.16
2012.56	0.43
2012.64	0.68
2012.72	0.71
2012.80	0.50
2012.88	0.34
2012.96	0.12
2013.08	-0.08
2013.16	-0.31
2013.24	-0.21
2013.32	-0.05
2013.40	-0.05
2013.48	-0.27
2013.56	-0.39
2013.64	-0.38
2013.72	-0.24
2013.80	-0.15
2013.88	-0.02
2013.96	0.01
2014.08	-0.04
2014.16	-0.20
2014.24	-0.22
2014.32	-0.03
2014.40	0.33
2014.48	0.63
2014.56	0.69
2014.64	0.59
2014.72	0.45
2014.80	0.50
2014.88	0.71
